"Posted Cash - Statement"
"From Date: 05-Aug-2025 To Date: 05-Aug-2025"
"Run ID: S-691-928-365"

"Account Number (Balance)","Cash Balance Posted Date","Cash Account CCY Code","Cash Account Number (Balance)","Transaction Group Description","Cash Opening Balance","Cash Closing Balance","Transaction Group Amount","Account Name (Balance)","Branch Code","Branch Name","DGSD Eligible"
"G 26763","2025-08-05","USD","0728426763"," ","-372839.80","86710.63","","NYLI S&P 500 INDEX FUND","TN4","JPMCBNA",""
"G 26763","2025-08-05","USD","0728426763","MISCELLANEOUS CASH","","","331576.62","NYLI S&P 500 INDEX FUND","TN4","JPMCBNA",""
"G 26763","2025-08-05","USD","0728426763","PRINCIPAL & INCOME","","","21133.99","NYLI S&P 500 INDEX FUND","TN4","JPMCBNA",""
"G 26763","2025-08-05","USD","0728426763","PURCHASES","","","-318015.71","NYLI S&P 500 INDEX FUND","TN4","JPMCBNA",""
"G 26763","2025-08-05","USD","0728426763","SALES","","","424855.53","NYLI S&P 500 INDEX FUND","TN4","JPMCBNA",""
"G 26794","2025-08-05","USD","0728426794"," ","-1060142.10","43007.36","","NYLI VP S&P 500 INDEX PORTFOLIO","TN4","JPMCBNA",""
"G 26794","2025-08-05","USD","0728426794","MISCELLANEOUS CASH","","","292933.96","NYLI VP S&P 500 INDEX PORTFOLIO","TN4","JPMCBNA",""
"G 26794","2025-08-05","USD","0728426794","PRINCIPAL & INCOME","","","65768.34","NYLI VP S&P 500 INDEX PORTFOLIO","TN4","JPMCBNA",""
"G 26794","2025-08-05","USD","0728426794","PURCHASES","","","-371228.14","NYLI VP S&P 500 INDEX PORTFOLIO","TN4","JPMCBNA",""
"G 26794","2025-08-05","USD","0728426794","SALES","","","1115675.30","NYLI VP S&P 500 INDEX PORTFOLIO","TN4","JPMCBNA",""

 
 
"Posted Cash - Detail"
"From Date: 05-Aug-2025 To Date: 05-Aug-2025"
"Run ID: S-691-928-365"

"Cash Account Number","Posted Date","Transaction Group Description","Account Number","Security Name","Transaction Number","Transaction Category Description","Transaction Status Description","Account Name","Cash Account Name","Cash Account CCY Code","Linked Custody Account","Location/Nominee Code","Location/Nominee Name","Reg./Sub Acct Code","Reg./Sub Acct Name","ASDA/CSDA","Collection Status Description","Customer Reference 1","Customer Reference 2","Income Reference","Transaction Type Description","Asset Type Description","Asset Category Description","Security ID","Coupon Rate","Maturity Date","Pool Number","ISIN","Ticker","Units","Current Face","Price","Gross Amount","Gross Amount CCY Code","Principal Amount","Income Amount","Commission","Commission CCY Code","Other Charges","UK Withholding Tax","UK Withholding Tax CCY Code","Non UK Withholding Tax","Non UK Withholding Tax CCY Code","Source Tax/NRA","Source Tax/NRA CCY Code","Net Amount","Exchange Rate","Trade Date","Contractual S/D","Autosettle Date","Ex Date","Record Date","Payable Date","Value Date","Last Update Date","Last Update Time","Dividend/Interest Rate","UK Withholding Rate","Non UK Withholding Rate","Source Tax/NRA Rate","Factor","Previous Factor","Principal MOF","Interest MOF","Trading Broker Number","Trading Broker Name","Clearing Broker Number","Clearing Broker Name","Additional Information","Bank Reference Number","By Order Of","Sending/Receiving Bank","OCC ID","S and P CUSIP","NIL Payment/Unknown Rate","Branch Code","Branch Name","DGSD Eligible"
"0728426763","2025-08-05","SALES","G 26763","BERKSHIRE HATHAWAY INC COMMON STOCK USD 0.0033","TQK263W8","SALE","SETTLED","NYLI S&P 500 INDEX FUND","US DOLLAR DDA","USD","EUJ97","DTC","DEPOSITORY TRUST COMPANY","DTC","DTC","","","A957923","A957923","","SALE","COMMON STOCK","COMMON STOCK","084670702","","","","US0846707026","BRK/B","4.0000000","","459.8450000","0.00","","1839.38","0.00","0.18","USD","0.00","0.00"," ","0.00"," ","0.00"," ","1839.20","","2025-08-04","2025-08-05","","","","","2025-08-05","2025-08-05","04:25:06","0.00000000000","0.00000000000","0.00000000000","0.00000000000","","","","","06826","INSTINET","00067","INSTINET, LLC","","","","","","","","TN4","JPMCBNA",""
"0728426763","2025-08-05","SALES","G 26763","JPMORGAN CHASE & CO COMMON STOCK USD 1","TQK263YX","SALE","SETTLED","NYLI S&P 500 INDEX FUND","US DOLLAR DDA","USD","EUJ97","DTC","DEPOSITORY TRUST COMPANY","DTC","DTC","","","A957922","A957922","","SALE","COMMON STOCK","COMMON STOCK","46625H100","","","","US46625H1005","JPM","7.0000000","","293.0500000","0.00","","2051.35","0.00","0.21","USD","0.00","0.00"," ","0.00"," ","0.00"," ","2051.14","","2025-08-04","2025-08-05","","","","","2025-08-05","2025-08-05","04:25:09","0.00000000000","0.00000000000","0.00000000000","0.00000000000","","","","","06826","INSTINET","00067","INSTINET, LLC","","","","","","","","TN4","JPMCBNA",""
"0728426763","2025-08-05","SALES","G 26763","MICROSOFT CORP COMMON STOCK USD 0.00000625","TQK2648Q","SALE","SETTLED","NYLI S&P 500 INDEX FUND","US DOLLAR DDA","USD","EUJ97","DTC","DEPOSITORY TRUST COMPANY","DTC","DTC","","","A957919","A957919","","SALE","COMMON STOCK","COMMON STOCK","594918104","","","","US5949181045","MSFT","4.0000000","","534.7250000","0.00","","2138.90","0.00","0.21","USD","0.00","0.00"," ","0.00"," ","0.00"," ","2138.69","","2025-08-04","2025-08-05","","","","","2025-08-05","2025-08-05","04:25:09","0.00000000000","0.00000000000","0.00000000000","0.00000000000","","","","","06826","INSTINET","00067","INSTINET, LLC","","","","","","","","TN4","JPMCBNA",""
"0728426763","2025-08-05","SALES","G 26763","NVIDIA CORP COMMON STOCK USD 0.001","TQK263WC","SALE","SETTLED","NYLI S&P 500 INDEX FUND","US DOLLAR DDA","USD","EUJ97","DTC","DEPOSITORY TRUST COMPANY","DTC","DTC","","","A957911","A957911","","SALE","COMMON STOCK","COMMON STOCK","67066G104","","","","US67066G1040","NVDA","13.0000000","","177.7850000","0.00","","2311.21","0.00","0.23","USD","0.00","0.00"," ","0.00"," ","0.00"," ","2310.98","","2025-08-04","2025-08-05","","","","","2025-08-05","2025-08-05","04:25:09","0.00000000000","0.00000000000","0.00000000000","0.00000000000","","","","","06826","INSTINET","00067","INSTINET, LLC","","","","","","","","TN4","JPMCBNA",""
"0728426763","2025-08-05","SALES","G 26763","NYLI US GOVERNMENT LIQUIDITY FUND OPEN-END FUND USD","TQK3FGZN","SALE","SETTLED","NYLI S&P 500 INDEX FUND","US DOLLAR DDA","USD","EUJ97","SHE","SHARES HELD ELSEWHERE","MEMF","MEMO-INTRADAY SETTLE - REGISTERED","","","DVP 002795","DVP 002795834","","SALE","OPEN END MUTUAL FUNDS EQUITY","MUTUAL FUNDS & UITS","56064L488","0.000000","","","US56064L4885","MUSXX","408678.3100000","0.0000000","1.0000000","0.00","","408678.31","0.00","0.00"," ","0.00","0.00"," ","0.00"," ","0.00"," ","408678.31","","2025-08-05","2025-08-05","","","","","2025-08-05","2025-08-05","12:50:25","0.00000000000","0.00000000000","0.00000000000","0.00000000000","","","","","80000","MEMO-MASTER NOTES/POOLED FUNDS","80000","MEMO-MASTER NOTES/POOLED FUNDS","","","","","","","","TN4","JPMCBNA",""
"0728426763","2025-08-05","SALES","G 26763","TESLA INC COMMON STOCK USD 0.001","TQK263YS","SALE","SETTLED","NYLI S&P 500 INDEX FUND","US DOLLAR DDA","USD","EUJ97","DTC","DEPOSITORY TRUST COMPANY","DTC","DTC","","","A957917","A957917","","SALE","COMMON STOCK","COMMON STOCK","88160R101","","","","US88160R1014","TSLA","6.0000000","","308.8000000","0.00","","1852.80","0.00","0.19","USD","0.00","0.00"," ","0.00"," ","0.00"," ","1852.61","","2025-08-04","2025-08-05","","","","","2025-08-05","2025-08-05","04:25:09","0.00000000000","0.00000000000","0.00000000000","0.00000000000","","","","","06826","INSTINET","00067","INSTINET, LLC","","","","","","","","TN4","JPMCBNA",""
"0728426763","2025-08-05","SALES","G 26763","TRADE DESK INC/THE COMMON STOCK USD 0.000001","TQK2648Z","SALE","SETTLED","NYLI S&P 500 INDEX FUND","US DOLLAR DDA","USD","EUJ97","DTC","DEPOSITORY TRUST COMPANY","DTC","DTC","","","A957904","A957904","","SALE","COMMON STOCK","COMMON STOCK","88339J105","","","","US88339J1051","TTD","45.0000000","","89.6689000","0.00","","4035.10","0.00","0.40","USD","0.00","0.00"," ","0.00"," ","0.00"," ","4034.70","","2025-08-04","2025-08-05","","","","","2025-08-05","2025-08-05","04:25:09","0.00000000000","0.00000000000","0.00000000000","0.00000000000","","","","","06826","INSTINET","00067","INSTINET, LLC","","","","","","","","TN4","JPMCBNA",""
"0728426794","2025-08-05","MISCELLANEOUS CASH","G 26794","REALIZED G/L FUTURFUTURES CONTRACTS","T325217FBKK","MISCELLANEOUS RECEIPT - CUSTODY","SETTLED","NYLI VP S&P 500 INDEX PORTFOLIO","US DOLLAR DDA","USD","EUK29","","","","","","","","","","CASH CREDIT FOR SALE","SEALED ENVELOPES","NON-SECURITIES ASSETS","993300037","","","","US9933000377","","0.0000000","0.0000000","0.0000000","0.00","","888165.80","0.00","0.00"," ","0.00","0.00"," ","0.00"," ","0.00"," ","888165.80","","2025-08-05","2025-08-05","","","","","2025-08-05","2025-08-05","15:36:26","0.00000000000","0.00000000000","0.00000000000","0.00000000000","","","","","","","","","TO OFFSET T325217FBKK 0123834217FC FROM HSBC BANK USA 0021000021 JPMORGAN CHASE BANK IMAD: 0000832217KB 00000009009000127 PENSION TRUST REALIZED G/L FUTURFUTURES CONTRACTS D0B7FBFF-4 MARGIN","","","","","","","TN4","JPMCBNA",""
"0728426794","2025-08-05","MISCELLANEOUS CASH","G 26794","","T325217CT5A","MISCELLANEOUS DISBURSEMENT - CUSTODY","SETTLED","NYLI VP S&P 500 INDEX PORTFOLIO","US DOLLAR DDA","USD","EUK29","","","","","","","","2504080006","","REDEMPTION TO FUND","","","","0.000000","","","","","0.0000000","0.0000000","0.0000000","0.00","","-595231.84","0.00","0.00"," ","0.00","0.00"," ","0.00"," ","0.00"," ","-595231.84","","2025-08-05","2025-08-05","","","","","2025-08-05","2025-08-05","09:25:19","0.00000000000","0.00000000000","0.00000000000","0.00000000000","1.000000000","","0.0000000","0.0000000","","","","","REDEMPTION","","","","","","","TN4","JPMCBNA",""
"0728426794","2025-08-05","PRINCIPAL & INCOME","G 26794","NYLI US GOVERNMENT LIQUIDITY FUND OPEN-END FUND USD","T325217ERH4","DIVIDEND","SETTLED","NYLI VP S&P 500 INDEX PORTFOLIO","US DOLLAR DDA","USD","EUK29","","","","","","CREDITED","","DIV 002795848","","CASH CREDIT FOR DIVIDENDS","OPEN END MUTUAL FUNDS EQUITY","MUTUAL FUNDS & UITS","56064L488","0.000000","","","US56064L4885","MUSXX","0.0000000","0.0000000","0.0000000","0.00","","0.00","214.64","0.00"," ","0.00","0.00"," ","0.00"," ","0.00"," ","214.64","","","2025-08-05","","","","","2025-08-05","2025-08-05","12:49:51","0.00000000000","0.00000000000","0.00000000000","0.00000000000","","","","","","","","","","","","","","","","TN4","JPMCBNA",""
