,row,column,value,cusip_row,cusip_column
1,AAL,AMR,-0.11436567784851952,02376R102,020764106 21241B100
4,AAN,PRG,0.22164238835980288,00258W108,002535300 74319R101 00258R109
40,AGM,AGM.A,0.3218363748353202,313148306,313148108
41,AGM.A,AGM,0.3218363748353202,313148108,313148306
85,AMR,AAL,-0.11436567784851952,020764106 21241B100,02376R102
98,AOUT,SWBI,0.03311272574732147,02875D109,831754106 831756101 02874P103
106,ARC,HTH,0.09949462948490247,00191G103 029263100,432748101 008273104
117,ARKO,HYAC,-0.04967218316002769,041242108 42087L101 42087L200,G4375F108
132,ASRV,USB,-0.021917364255948767,03074A102 917292104,902973304 33763V109 319279105 319279501 855083101
174,BATRA,FWONA,0.09935588766207687,047726104,531229870 531229102 531229771
175,BATRA,FWONK,0.2009216073967287,047726104,531229854
176,BATRA,LSXMA,0.312987494358076,047726104,531229409
194,BELFA,BELFB,0.710463410660299,077347201 077347102,077347300
195,BELFB,BELFA,0.710463410660299,077347300,077347201 077347102
198,BF.A,BF.B,0.9318421454443252,115637100,115637209
199,BF.B,BF.A,0.9318421454443252,115637209,115637100
205,BH,BH.A,0.5229727107709135,08986R101 08986R309 857873103 209798107 857873202,08986R408
206,BH,COP,0.0651113590277712,08986R101 08986R309 857873103 209798107 857873202,20825C104 718507106
207,BH.A,BH,0.5229727107709135,08986R408,08986R101 08986R309 857873103 209798107 857873202
209,BH.A,COP,0.058397335050568024,08986R408,20825C104 718507106
216,BIO,BIO.B,-0.11970654796533449,090572207,090572108
217,BIO.B,BIO,-0.11970654796533449,090572108,090572207
244,BRK.A,BRK.B,0.924267294627598,084670108,084670702 084670207
245,BRK.B,BRK.A,0.924267294627598,084670702 084670207,084670108
254,BW,MTRN,0.07564453542485401,05614L100 05614L209,576690101 117421107
284,CCL,CUK,0.8927706147551322,143658300 143658102,14365C103 693070104
293,CENT,CENTA,0.970835971118356,153527106,153527205
294,CENTA,CENT,0.970835971118356,153527205,153527106
351,COGT,FLNT,0.051098242219078945,19240Q201 903214104 19240Q102,34380C102 19241Q101 44938L108 34380C201 G88685105 88674Y105 G8005Y106 G8005Y205
357,COP,BH,0.0651113590277712,20825C104 718507106,08986R101 08986R309 857873103 209798107 857873202
358,COP,BH.A,0.058397335050568024,20825C104 718507106,08986R408
371,CRD.A,CRD.B,0.6583898315650434,224633206,224633107
372,CRD.B,CRD.A,0.6583898315650434,224633107,224633206
391,CUK,CCL,0.8927706147551322,14365C103 693070104,143658300 143658102
399,CWEN,CWEN.A,0.9690819239905667,18539C204 62942X405 62942X108,62942X306 18539C105 62942X108
400,CWEN.A,CWEN,0.9690819239905667,62942X306 18539C105 62942X108,18539C204 62942X405 62942X108
418,DD,DOW,0.3068773064759052,26614N102 26078J100 260543103 913353108 256592106,260557103
