"Outstanding Trades - Filtered_ftp"
"From Date: 07-Aug-2025 To Date: 07-Aug-2025"
"Run ID: S-692-005-872"

"Account Number","Contractual S/D","Net Amount CCY Code","Transaction Group Description","Transaction Category Description","Transaction Status Description","Security Name","Transaction Number","Account Name","Cash Account Number","Cash Account Name","Cash Account CCY Code","Linked Custody Account","Location/Nominee Code","Location/Nominee Name","Reg./Sub Acct Code","Reg./Sub Acct Name","ASDA/CSDA","Matched","Customer Reference 1","Customer Reference 2","Transaction Type Description","Asset Type Description","Asset Category Description","Security ID","Coupon Rate","Maturity Date","Pool Number","ISIN","Ticker","Units","Current Face","Price","Principal Amount","Income Amount","Commission","Commission CCY Code","Other Charges","Net Amount","Trade Date","Autosettle Date","Value Date","Last Update Date","Last Update Time","Factor","Previous Factor","Trading Broker Number","Trading Broker Name","Clearing Broker Number","Clearing Broker Name","Fail Code","Fail Description","Fail Narrative","Age (Days)","Additional Information","OCC ID","S and P CUSIP","RAD Reason Status","Elective Event Impact"
No Data for this report
