COB Date,Account,Account Name,Market,Trade Date,Long Qty,Short Qty,Curr,GMI Exch Code,GMI Prod Code,Product,Month,Year,Contract Day,P/C,Strike Price,Trade Price,Stl Price
"20250807","00102702","","CME (IMM)","20250610","1","","USD","16","ES","EMINI S&P 500","09","25","","","","6079.00000000","6366.50000000"
"20250807","00102702","","CME (IMM)","20250610","2","","USD","16","ES","EMINI S&P 500","09","25","","","","6079.50000000","6366.50000000"
"20250807","00102703","","CME (IMM)","20250610","25","","USD","16","ES","EMINI S&P 500","09","25","","","","6064.00000000","6366.50000000"
"20250807","00102702","","CME (IMM)","20250610","79","","USD","16","ES","EMINI S&P 500","09","25","","","","6064.00000000","6366.50000000"
"20250807","00102702","","CME (IMM)","20250611","1","","USD","16","ES","EMINI S&P 500","09","25","","","","6112.25000000","6366.50000000"
"20250807","00102703","","CME (IMM)","20250612","1","","USD","16","ES","EMINI S&P 500","09","25","","","","6092.75000000","6366.50000000"
"20250807","00102702","","CME (IMM)","20250612","2","","USD","16","ES","EMINI S&P 500","09","25","","","","6092.75000000","6366.50000000"
"20250807","00102702","","CME (IMM)","20250613","1","","USD","16","ES","EMINI S&P 500","09","25","","","","6039.50000000","6366.50000000"
"20250807","00102702","","CME (IMM)","20250613","1","","USD","16","ES","EMINI S&P 500","09","25","","","","6040.50000000","6366.50000000"
"20250807","00102702","","CME (IMM)","20250613","1","","USD","16","ES","EMINI S&P 500","09","25","","","","6038.75000000","6366.50000000"
"20250807","00102702","","CME (IMM)","20250613","2","","USD","16","ES","EMINI S&P 500","09","25","","","","6039.75000000","6366.50000000"
"20250807","00102703","","CME (IMM)","20250616","1","","USD","16","ES","EMINI S&P 500","09","25","","","","6103.00000000","6366.50000000"
"20250807","00102703","","CME (IMM)","20250616","2","","USD","16","ES","EMINI S&P 500","09","25","","","","6103.25000000","6366.50000000"
"20250807","00102702","","CME (IMM)","20250617","1","","USD","16","ES","EMINI S&P 500","09","25","","","","6076.25000000","6366.50000000"
"20250807","00102703","","CME (IMM)","20250617","1","","USD","16","ES","EMINI S&P 500","09","25","","","","6076.25000000","6366.50000000"
"20250807","00102702","","CME (IMM)","20250617","3","","USD","16","ES","EMINI S&P 500","09","25","","","","6076.00000000","6366.50000000"
"20250807","00102703","","CME (IMM)","20250617","4","","USD","16","ES","EMINI S&P 500","09","25","","","","6076.00000000","6366.50000000"
"20250807","00102702","","CME (IMM)","20250618","1","","USD","16","ES","EMINI S&P 500","09","25","","","","6072.25000000","6366.50000000"
"20250807","00102702","","CME (IMM)","20250618","2","","USD","16","ES","EMINI S&P 500","09","25","","","","6072.00000000","6366.50000000"
"20250807","00102702","","CME (IMM)","20250618","3","","USD","16","ES","EMINI S&P 500","09","25","","","","6068.00000000","6366.50000000"
"20250807","00102702","","CME (IMM)","20250618","6","","USD","16","ES","EMINI S&P 500","09","25","","","","6071.75000000","6366.50000000"
"20250807","00102702","","CME (IMM)","20250623","2","","USD","16","ES","EMINI S&P 500","09","25","","","","6056.50000000","6366.50000000"
"20250807","00102702","","CME (IMM)","20250624","1","","USD","16","ES","EMINI S&P 500","09","25","","","","6132.50000000","6366.50000000"
"20250807","00102703","","CME (IMM)","20250624","2","","USD","16","ES","EMINI S&P 500","09","25","","","","6132.50000000","6366.50000000"
"20250807","00102703","","CME (IMM)","20250625","2","","USD","16","ES","EMINI S&P 500","09","25","","","","6153.00000000","6366.50000000"
"20250807","00102702","","CME (IMM)","20250625","2","","USD","16","ES","EMINI S&P 500","09","25","","","","6152.75000000","6366.50000000"
"20250807","00102702","","CME (IMM)","20250625","4","","USD","16","ES","EMINI S&P 500","09","25","","","","6153.00000000","6366.50000000"
"20250807","00102702","","CME (IMM)","20250625","4","","USD","16","ES","EMINI S&P 500","09","25","","","","6153.25000000","6366.50000000"
"20250807","00102703","","CME (IMM)","20250626","2","","USD","16","ES","EMINI S&P 500","09","25","","","","6177.75000000","6366.50000000"
"20250807","00102702","","CME (IMM)","20250626","7","","USD","16","ES","EMINI S&P 500","09","25","","","","6177.75000000","6366.50000000"
"20250807","00102703","","CME (IMM)","20250627","3","","USD","16","ES","EMINI S&P 500","09","25","","","","6224.00000000","6366.50000000"
"20250807","00102703","","CME (IMM)","20250627","4","","USD","16","ES","EMINI S&P 500","09","25","","","","6223.75000000","6366.50000000"
"20250807","00102702","","CME (IMM)","20250630","5","","USD","16","ES","EMINI S&P 500","09","25","","","","6238.25000000","6366.50000000"
"20250807","00102702","","CME (IMM)","20250701","1","","USD","16","ES","EMINI S&P 500","09","25","","","","6243.75000000","6366.50000000"
"20250807","00102702","","CME (IMM)","20250701","4","","USD","16","ES","EMINI S&P 500","09","25","","","","6244.00000000","6366.50000000"
"20250807","00102702","","CME (IMM)","20250703","4","","USD","16","ES","EMINI S&P 500","09","25","","","","6319.25000000","6366.50000000"
"20250807","00102702","","CME (IMM)","20250707","1","","USD","16","ES","EMINI S&P 500","09","25","","","","6294.00000000","6366.50000000"
"20250807","00102703","","CME (IMM)","20250707","1","","USD","16","ES","EMINI S&P 500","09","25","","","","6294.00000000","6366.50000000"
"20250807","00102702","","CME (IMM)","20250707","3","","USD","16","ES","EMINI S&P 500","09","25","","","","6294.25000000","6366.50000000"
"20250807","00102703","","CME (IMM)","20250707","3","","USD","16","ES","EMINI S&P 500","09","25","","","","6294.25000000","6366.50000000"
"20250807","00102702","","CME (IMM)","20250709","7","","USD","16","ES","EMINI S&P 500","09","25","","","","6292.25000000","6366.50000000"
"20250807","00102703","","CME (IMM)","20250714","1","","USD","16","ES","EMINI S&P 500","09","25","","","","6289.00000000","6366.50000000"
"20250807","00102702","","CME (IMM)","20250714","2","","USD","16","ES","EMINI S&P 500","09","25","","","","6289.25000000","6366.50000000"
"20250807","00102703","","CME (IMM)","20250715","2","","USD","16","ES","EMINI S&P 500","09","25","","","","6322.75000000","6366.50000000"
"20250807","00102702","","CME (IMM)","20250716","1","","USD","16","ES","EMINI S&P 500","09","25","","","","6289.00000000","6366.50000000"
"20250807","00102703","","CME (IMM)","20250716","2","","USD","16","ES","EMINI S&P 500","09","25","","","","6289.25000000","6366.50000000"
"20250807","00102702","","CME (IMM)","20250716","8","","USD","16","ES","EMINI S&P 500","09","25","","","","6289.25000000","6366.50000000"
"20250807","00102703","","CME (IMM)","20250717","1","","USD","16","ES","EMINI S&P 500","09","25","","","","6316.00000000","6366.50000000"
"20250807","00102702","","CME (IMM)","20250717","4","","USD","16","ES","EMINI S&P 500","09","25","","","","6316.00000000","6366.50000000"
"20250807","00102702","","CME (IMM)","20250721","3","","USD","16","ES","EMINI S&P 500","09","25","","","","6368.25000000","6366.50000000"
"20250807","00102703","","CME (IMM)","20250721","3","","USD","16","ES","EMINI S&P 500","09","25","","","","6368.25000000","6366.50000000"
"20250807","00102702","","CME (IMM)","20250721","3","","USD","16","ES","EMINI S&P 500","09","25","","","","6367.75000000","6366.50000000"
"20250807","00102703","","CME (IMM)","20250721","3","","USD","16","ES","EMINI S&P 500","09","25","","","","6367.75000000","6366.50000000"
"20250807","00102702","","CME (IMM)","20250721","4","","USD","16","ES","EMINI S&P 500","09","25","","","","6368.00000000","6366.50000000"
"20250807","00102703","","CME (IMM)","20250723","1","","USD","16","ES","EMINI S&P 500","09","25","","","","6359.00000000","6366.50000000"
"20250807","00102702","","CME (IMM)","20250723","2","","USD","16","ES","EMINI S&P 500","09","25","","","","6359.25000000","6366.50000000"
"20250807","00102703","","CME (IMM)","20250731","2","","USD","16","ES","EMINI S&P 500","09","25","","","","6444.25000000","6366.50000000"
"20250807","00102702","","CME (IMM)","20250731","2","","USD","16","ES","EMINI S&P 500","09","25","","","","6445.25000000","6366.50000000"
"20250807","00102702","","CME (IMM)","20250731","3","","USD","16","ES","EMINI S&P 500","09","25","","","","6444.50000000","6366.50000000"
"20250807","00102702","","CME (IMM)","20250801","1","","USD","16","ES","EMINI S&P 500","09","25","","","","6275.25000000","6366.50000000"
"20250807","00102702","","CME (IMM)","20250801","1","","USD","16","ES","EMINI S&P 500","09","25","","","","6274.75000000","6366.50000000"
"20250807","00102703","","CME (IMM)","20250804","1","","USD","16","ES","EMINI S&P 500","09","25","","","","6336.00000000","6366.50000000"
"20250807","00102703","","CME (IMM)","20250805","1","","USD","16","ES","EMINI S&P 500","09","25","","","","6345.00000000","6366.50000000"
"20250807","00102702","","CME (IMM)","20250807","2","","USD","16","ES","EMINI S&P 500","09","25","","","","6389.75000000","6366.50000000"
