"Account Number","Account Name","Cash Account Number","Cash Account Name","Sweep Vehicle Number","Sweep Vehicle Name","Account Group","Reporting Currency Code","Reporting Currency Name","Local Currency Code","Local Currency Name","Location Code","Location Name","Cash Reporting Date","Reference Number","Client Reference Number","Related Reference","Tax Code","Tax Code Description","Transaction Type Code","Transaction Type","Main Transaction Code","Sub Transaction Code","Detailed Transaction Type Name","Transaction Description 1","Transaction Description 2","Transaction Description 3","Transaction Description 4","Transaction Description 5","Transaction Description 6","Trade / Ex Date","Settle / Pay Date","Actual Settle Date","Record Date","Cash Post Date","Cash Value Date","Shares/Par","Local Price/Rate","Local Principal Amount","Local Income Amount","Gross Amount","Source Tax Withheld Amount","Bank Tax Withheld Amount","Opening Balance Local","Transaction Amount Local","Closing Balance Local","Opening Balance Reporting Equivalent","Transaction Amount Reporting Equivalent","Closing Balance Reporting Equivalent","Trading Broker Code","Trading Broker Name","Trading BIC Broker Code","Clearing Broker Code","Clearing Broker Name","Clearing BIC Broker Code","Security Short Description","Security Description 1","Security Description 2","Security  Description 3","Security Description 4","Security Description 5","Exchange Rate","CUSIP/CINS","TICKER","ISIN","SEDOL","VALOREN","SICOVAM","WPK","QUICK","Wire Reference Number","Begin Date","End Date","Report Run Date","Report Run Time","Current Factor","Previous Factor","Amortized Units","Event ID","Flat Tax %","Flat Tax Amount","Solidarity %","Solidarity Amount","Flat Tax Currency","Account - GSP","Extended Account","Opening STIF Balance","STIF Transaction Amount","Closing STIF Balance","Create Date","Last Updated","Contractual Indicator Code","Settlement Policy","CID","IAS Account Number","IAS Account Name","IAS Consolidated Account Number","IAS Consolidated Account Name","GFC Indicator","Issue Currency Code","Accrual Currency Code","Asset Category"
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394730360","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","AUD","AUSTRALIAN DOLLAR","11","BRU","08/07/2025","","","","","","","","","","","","","","","","","","","","","","","","0.0000000000","","","","","","0.63","","0.63","0.41","","0.41","","","","","","","","","","","","","0.6494000000","","","","","","","","","","08/07/2025","08/21/2025","08/07/2025","08:02:10 AM EDT (GMT -4:00)","","","","","","","","","","","","0.00","0.00","0.00","","","","","5829291047","","","","","","","",""
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394730360","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","AUD","AUSTRALIAN DOLLAR","11","BRU","08/08/2025","","","","","","","","","","","","","","","","","","","","","","","","0.0000000000","","","","","","0.63","","0.63","0.41","","0.41","","","","","","","","","","","","","0.6494000000","","","","","","","","","","08/07/2025","08/21/2025","08/07/2025","08:02:10 AM EDT (GMT -4:00)","","","","","","","","","","","","0.00","0.00","0.00","","","","","5829291047","","","","","","","",""
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394730360","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","AUD","AUSTRALIAN DOLLAR","11","BRU","08/11/2025","","","","","","","","","","","","","","","","","","","","","","","","0.0000000000","","","","","","0.63","","0.63","0.41","","0.41","","","","","","","","","","","","","0.6494000000","","","","","","","","","","08/07/2025","08/21/2025","08/07/2025","08:02:10 AM EDT (GMT -4:00)","","","","","","","","","","","","0.00","0.00","0.00","","","","","5829291047","","","","","","","",""
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394730360","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","AUD","AUSTRALIAN DOLLAR","11","BRU","08/12/2025","","","","","","","","","","","","","","","","","","","","","","","","0.0000000000","","","","","","0.63","","0.63","0.41","","0.41","","","","","","","","","","","","","0.6494000000","","","","","","","","","","08/07/2025","08/21/2025","08/07/2025","08:02:10 AM EDT (GMT -4:00)","","","","","","","","","","","","0.00","0.00","0.00","","","","","5829291047","","","","","","","",""
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394730360","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","AUD","AUSTRALIAN DOLLAR","11","BRU","08/13/2025","","","","","","","","","","","","","","","","","","","","","","","","0.0000000000","","","","","","0.63","","0.63","0.41","","0.41","","","","","","","","","","","","","0.6494000000","","","","","","","","","","08/07/2025","08/21/2025","08/07/2025","08:02:10 AM EDT (GMT -4:00)","","","","","","","","","","","","0.00","0.00","0.00","","","","","5829291047","","","","","","","",""
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394730360","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","AUD","AUSTRALIAN DOLLAR","11","BRU","08/14/2025","","","","","","","","","","","","","","","","","","","","","","","","0.0000000000","","","","","","0.63","","0.63","0.41","","0.41","","","","","","","","","","","","","0.6494000000","","","","","","","","","","08/07/2025","08/21/2025","08/07/2025","08:02:10 AM EDT (GMT -4:00)","","","","","","","","","","","","0.00","0.00","0.00","","","","","5829291047","","","","","","","",""
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394732080","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","DKK","DANISH KRONE","10","BRU","08/07/2025","","","","","","","","","","","","","","","","","","","","","","","","0.0000000000","","","","","","(2.58)","","(2.58)","(0.40)","","(0.40)","","","","","","","","","","","","","0.1557984279","","","","","","","","","","08/07/2025","08/21/2025","08/07/2025","08:02:10 AM EDT (GMT -4:00)","","","","","","","","","","","","0.00","0.00","0.00","","","","","5829291047","","","","","","","",""
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394732080","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","DKK","DANISH KRONE","10","BRU","08/08/2025","","","","","","","","","","","","","","","","","","","","","","","","0.0000000000","","","","","","(2.58)","","(2.58)","(0.40)","","(0.40)","","","","","","","","","","","","","0.1557984279","","","","","","","","","","08/07/2025","08/21/2025","08/07/2025","08:02:10 AM EDT (GMT -4:00)","","","","","","","","","","","","0.00","0.00","0.00","","","","","5829291047","","","","","","","",""
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394732080","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","DKK","DANISH KRONE","10","BRU","08/11/2025","","","","","","","","","","","","","","","","","","","","","","","","0.0000000000","","","","","","(2.58)","","(2.58)","(0.40)","","(0.40)","","","","","","","","","","","","","0.1557984279","","","","","","","","","","08/07/2025","08/21/2025","08/07/2025","08:02:10 AM EDT (GMT -4:00)","","","","","","","","","","","","0.00","0.00","0.00","","","","","5829291047","","","","","","","",""
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394732080","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","DKK","DANISH KRONE","10","BRU","08/12/2025","","","","","","","","","","","","","","","","","","","","","","","","0.0000000000","","","","","","(2.58)","","(2.58)","(0.40)","","(0.40)","","","","","","","","","","","","","0.1557984279","","","","","","","","","","08/07/2025","08/21/2025","08/07/2025","08:02:10 AM EDT (GMT -4:00)","","","","","","","","","","","","0.00","0.00","0.00","","","","","5829291047","","","","","","","",""
