,row,column,value,cusip_row,cusip_column
1,AAL,AMR,-0.11440999084126037,02376R102,020764106 21241B100
4,AAN,PRG,0.2480240415289756,00258W108,002535300 74319R101 00258R109
40,AGM,AGM.A,0.3215589264847972,313148306,313148108
41,AGM.A,AGM,0.3215589264847972,313148108,313148306
85,AMR,AAL,-0.11440999084126037,020764106 21241B100,02376R102
98,AOUT,SWBI,0.03257418647400607,02875D109,831754106 831756101 02874P103
106,ARC,HTH,0.08954741798590173,00191G103 029263100,432748101 008273104
117,ARKO,HYAC,-0.05817407477278637,041242108 42087L101 42087L200,G4375F108
132,ASRV,USB,-0.01933465410287345,03074A102 917292104,902973304 33763V109 319279105 319279501 855083101
174,BATRA,FWONA,0.09962270822030518,047726104,531229870 531229102 531229771
175,BATRA,FWONK,0.20182249488033016,047726104,531229854
176,BATRA,LSXMA,0.28358875795893157,047726104,531229409
194,BELFA,BELFB,0.7101916110808458,077347201 077347102,077347300
195,BELFB,BELFA,0.7101916110808458,077347300,077347201 077347102
198,BF.A,BF.B,0.9300101910714027,115637100,115637209
199,BF.B,BF.A,0.9300101910714027,115637209,115637100
205,BH,BH.A,0.5203182834949505,08986R101 08986R309 857873103 209798107 857873202,08986R408
206,BH,COP,0.06745273908852711,08986R101 08986R309 857873103 209798107 857873202,20825C104 718507106
207,BH.A,BH,0.5203182834949505,08986R408,08986R101 08986R309 857873103 209798107 857873202
209,BH.A,COP,0.05987738561105159,08986R408,20825C104 718507106
216,BIO,BIO.B,-0.11827658788733456,090572207,090572108
217,BIO.B,BIO,-0.11827658788733456,090572108,090572207
244,BRK.A,BRK.B,0.92243007136076,084670108,084670702 084670207
245,BRK.B,BRK.A,0.92243007136076,084670702 084670207,084670108
254,BW,MTRN,0.08875974703211717,05614L100 05614L209,576690101 117421107
284,CCL,CUK,0.8947951083344661,143658300 143658102,14365C103 693070104
293,CENT,CENTA,0.9703991997978193,153527106,153527205
294,CENTA,CENT,0.9703991997978193,153527205,153527106
351,COGT,FLNT,0.04523629305088181,19240Q201 903214104 19240Q102,34380C102 19241Q101 44938L108 34380C201 G88685105 88674Y105 G8005Y106 G8005Y205
357,COP,BH,0.06745273908852711,20825C104 718507106,08986R101 08986R309 857873103 209798107 857873202
358,COP,BH.A,0.05987738561105159,20825C104 718507106,08986R408
371,CRD.A,CRD.B,0.6597139022221651,224633206,224633107
372,CRD.B,CRD.A,0.6597139022221651,224633107,224633206
391,CUK,CCL,0.8947951083344661,14365C103 693070104,143658300 143658102
399,CWEN,CWEN.A,0.9691576396856577,18539C204 62942X405 62942X108,62942X306 18539C105 62942X108
400,CWEN.A,CWEN,0.9691576396856577,62942X306 18539C105 62942X108,18539C204 62942X405 62942X108
418,DD,DOW,0.3155555848746664,26614N102 26078J100 260543103 913353108 256592106,260557103
423,DGICA,DGICB,0.19025183327431333,257701201 257701102,257701300
424,DGICB,DGICA,0.19025183327431333,257701300,257701201 257701102
438,DOW,DD,0.3155555848746664,260557103,26614N102 26078J100 260543103 913353108 256592106
451,DWSN,TGE,0.10796106837593376,239360100 872417308 872417100,874696107
468,ENR,EPC,0.2658364416659232,29272W109,28035Q102 29266R108
477,EPC,ENR,0.2658364416659232,28035Q102 29266R108,29272W109
481,EPM,GTM,0.4008356393500635,30049A107 756048104 756048203 63887P100 756048500,40274U108 527367205 28368B102
