,row,column,value,cusip_row,cusip_column
1,AAL,AMR,-0.10937224114619039,02376R102,020764106 21241B100
4,AAN,PRG,0.1757691267922283,00258W108,002535300 74319R101 00258R109
40,AGM,AGM.A,0.3316072213936165,313148306,313148108
41,AGM.A,AGM,0.3316072213936165,313148108,313148306
85,AMR,AAL,-0.10937224114619039,020764106 21241B100,02376R102
98,AOUT,SWBI,0.04399625957508739,02875D109,831754106 831756101 02874P103
106,ARC,HTH,0.06827410810367295,00191G103 029263100,432748101 008273104
117,ARKO,HYAC,-0.02802972836050826,041242108 42087L101 42087L200,G4375F108
131,ASPC,ASPCU,0.8674632307758554,G0316P130,G0316P114
132,ASPCU,ASPC,0.8674632307758554,G0316P114,G0316P130
136,ASRV,USB,-0.01750159882255671,03074A102 917292104,902973304 33763V109 319279105 319279501 855083101
178,BATRA,FWONA,0.0875907719045216,047726104,531229870 531229102 531229771
179,BATRA,FWONK,0.18808408631070764,047726104,531229854
180,BATRA,LSXMA,0.26701506016477855,047726104,531229409
198,BELFA,BELFB,0.7099581974169452,077347201 077347102,077347300
199,BELFB,BELFA,0.7099581974169452,077347300,077347201 077347102
202,BF.A,BF.B,0.9325829449244734,115637100,115637209
203,BF.B,BF.A,0.9325829449244734,115637209,115637100
209,BH,BH.A,0.5315678294827085,08986R101 08986R309 857873103 209798107 857873202,08986R408
210,BH,COP,0.0768816382107937,08986R101 08986R309 857873103 209798107 857873202,20825C104 718507106
211,BH.A,BH,0.5315678294827085,08986R408,08986R101 08986R309 857873103 209798107 857873202
213,BH.A,COP,0.06482917693319433,08986R408,20825C104 718507106
220,BIO,BIO.B,-0.12407402205021575,090572207,090572108
221,BIO.B,BIO,-0.12407402205021575,090572108,090572207
248,BRK.A,BRK.B,0.9131566828527407,084670108,084670702 084670207
249,BRK.B,BRK.A,0.9131566828527407,084670702 084670207,084670108
258,BW,MTRN,0.0744736966307266,05614L100 05614L209,576690101 117421107
288,CCL,CUK,0.8913468503653978,143658300 143658102,14365C103 693070104
297,CENT,CENTA,0.9714001701933693,153527106,153527205
298,CENTA,CENT,0.9714001701933693,153527205,153527106
355,COGT,FLNT,0.06701387450506176,19240Q201 903214104 19240Q102,34380C102 19241Q101 44938L108 34380C201 G88685105 88674Y105 G8005Y106 G8005Y205
361,COP,BH,0.0768816382107937,20825C104 718507106,08986R101 08986R309 857873103 209798107 857873202
362,COP,BH.A,0.06482917693319433,20825C104 718507106,08986R408
375,CRD.A,CRD.B,0.6598543904259084,224633206,224633107
376,CRD.B,CRD.A,0.6598543904259084,224633107,224633206
395,CUK,CCL,0.8913468503653978,14365C103 693070104,143658300 143658102
403,CWEN,CWEN.A,0.969133072642062,18539C204 62942X405 62942X108,62942X306 18539C105 62942X108
404,CWEN.A,CWEN,0.969133072642062,62942X306 18539C105 62942X108,18539C204 62942X405 62942X108
422,DD,DOW,0.321850515495058,26614N102 26078J100 260543103 913353108 256592106,260557103
427,DGICA,DGICB,0.21969895829942784,257701201 257701102,257701300
428,DGICB,DGICA,0.21969895829942784,257701300,257701201 257701102
442,DOW,DD,0.321850515495058,260557103,26614N102 26078J100 260543103 913353108 256592106
455,DWSN,TGE,0.04864896001473323,239360100 872417308 872417100,874696107
472,ENR,EPC,0.2073657895351227,29272W109,28035Q102 29266R108
481,EPC,ENR,0.2073657895351227,28035Q102 29266R108,29272W109
