,row,column,value,cusip_row,cusip_column
893,MBOT,STEM,0.04430628987070734,85857R204 59503A204 59503A105 85857R303 85857R105 232923102,85859N102 855185104
922,MKC,MKC.V,0.709081553668232,579780206,579780107
923,MKC.V,MKC,0.709081553668232,579780107,579780206
926,MLAC,MLACU,0.884640477289864,G5859B117,G5859B125
927,MLACU,MLAC,0.884640477289864,G5859B125,G5859B117
935,MOG.A,MOG.B,0.11549770692617019,615394202,615394301
936,MOG.B,MOG.A,0.11549770692617019,615394301,615394202
956,MTRN,BW,0.0808936248763649,576690101 117421107,05614L100 05614L209
968,NAVI,SLM,0.34455690155359114,63938C108,78442P106 78442A109 90390U102
1016,NWS,FOX,0.06356751528833408,65249B208,35137L204
1017,NWS,FOXA,0.07255296410792478,65249B208,35137L105
1019,NWS,NWSA,0.8323536487734731,65249B208,65249B109
1020,NWSA,FOX,0.01149667313540622,65249B109,35137L204
1021,NWSA,FOXA,0.03317065155220814,65249B109,35137L105
1022,NWSA,NWS,0.8323536487734731,65249B109,65249B208
1034,OGCP,ESBA,0.2528379662693899,292102209,292102100
1035,OGCP,FISK,0.11406659610791742,292102209,292102308
1075,PAR,PTC,0.006267302590716469,698884103,69370C100 699173209 699173100
1088,PCT,PCTTU,0.10119897836757626,74623V103 778675108,778675207 74623V202
1089,PCTTU,PCT,0.10119897836757626,778675207 74623V202,74623V103 778675108
1099,PHGE,PHGE.U,0.2184006179112758,09090D103 09090D301 15957A108,15957A207 09090D202
1100,PHGE.U,PHGE,0.2184006179112758,15957A207 09090D202,09090D103 09090D301 15957A108
1124,PRG,AAN,0.24756553838461406,002535300 74319R101 00258R109,00258W108
1137,PTC,PAR,0.006267302590716469,69370C100 699173209 699173100,698884103
1162,RDI,RDIB,0.11922328156559658,755408101 172862104 172862302 172862203,755408200
1163,RDIB,RDI,0.11922328156559658,755408200,755408101 172862104 172862302 172862203
1196,RUSHA,RUSHB,0.6691399649493344,781846209 781846100,781846308
1197,RUSHB,RUSHA,0.6691399649493344,781846308,781846209 781846100
1218,SENEA,SENEB,0.12306443197475839,817070501 817070709,817070105
1219,SENEB,SENEA,0.12306443197475839,817070105,817070501 817070709
1243,SLM,NAVI,0.34455690155359114,78442P106 78442A109 90390U102,63938C108
1293,STEM,MBOT,0.04430628987070734,85859N102 855185104,85857R204 59503A204 59503A105 85857R303 85857R105 232923102
1309,SWBI,AOUT,0.04215960635912275,831754106 831756101 02874P103,02875D109
1321,TACO,TACOU,0.8917027692379743,245496104 52748T104,52748T203
1323,TACOU,TACO,0.8917027692379743,52748T203,245496104 52748T104
1327,TAP,TAP.A,0.17777703316127869,60871R209 217016104,60871R100
1328,TAP.A,TAP,0.17777703316127869,60871R100,60871R209 217016104
1344,TGE,DWSN,0.11051311511660933,874696107,239360100 872417308 872417100
1376,TT,IR,-0.0007174753124533216,G8994E103 G47791101 G4776G101 456866102,45687V106 36555P107
1387,UA,UAA,0.9590225086451104,904311206,904311107
1388,UAA,UA,0.9590225086451104,904311107,904311206
1400,UONE,UONEK,0.07950950674178175,91705J105 75040P108,75040P405 91705J204
1401,UONEK,UONE,0.07950950674178175,75040P405 91705J204,91705J105 75040P108
1404,USB,ASRV,-0.009008237664110429,902973304 33763V109 319279105 319279501 855083101,03074A102 917292104
1414,VC,VTR,0.00540099135315632,92839U206,92276F100 922602107
1445,VTR,VC,0.00540099135315632,92276F100 922602107,92839U206
1491,WSO,WSO.B,0.169932297862935,942622200,942622101
1492,WSO.B,WSO,0.169932297862935,942622101,942622200
1513,Z,ZG,0.9830064104584678,98954M200,98954M101 98954A107
1516,ZG,Z,0.9830064104584678,98954M101 98954A107,98954M200
