"As of Date","Counter Party Account","Counter Party Account Name","MS Entity","Cusip","Collateral Currency","ISIN","Security Description","Haircut Percent","Price","Notional","Market Value","Post Haircut Market Value","Calculation Type","Counter Party Email Domain"
"08/07/2025","06178WP89","NYLI MERGER ARBITRAGE ETF","MSCS","987999XM6","USD","","CASH","100.00","1.00","12486.00","12486.00","12486.00","NET","06178WP89_indexiq.com,bnymellon.com"
"08/07/2025","06178WP89","NYLI MERGER ARBITRAGE ETF","MSCS","931427108","USD","US9314271084","WALGREENS BOOTS ALLIANCE INC","50.00","11.90","892329.00","10618715.00","5309358.00","NET","06178WP89_indexiq.com,bnymellon.com"
"08/07/2025","06178ZVV4","INDEXIQ ADVSRS LLC-MNSTY VP FND TRST-MNSTY VP IQ HDG MULTI-STRATEGY PORTFOLIO","MSCS","46429B655","USD","US46429B6552","ISHARES FLOT RT","50.00","50.91","36000.00","1832760.00","916380.00","NET","06178ZVV4_indexiq.com,statestreet.com,bnymellon.com"
"08/07/2025","058D194V1","INDEXIQIN","MSCS","999937RZ0","CHF","CH0038863350","NESTLE AG (SWI LISTING)","50.00","72.07","137618.00","12271116.00","6135558.00","NET","058D194V1_indexiq.com,bnymellon.com"
"08/07/2025","058D194V1","INDEXIQIN","MSCS","99902JF61","EUR","NL0010273215","ASML HOLDING NV (NET LISTING)","50.00","610.70","6517.00","4625477.00","2312738.00","NET","058D194V1_indexiq.com,bnymellon.com"
"08/07/2025","06178SPM7","INDEXIQ ADVISORS LLC A/C NEW YORK LIFE INVESTMENTS ETF TRUST-NYLI HEDGE MULTI- STRATEGY TRACKER ETF","MSCS","46429B655","USD","US46429B6552","ISHARES FLOT RT","50.00","50.91","27350.00","1392367.00","696184.00","NET","06178SPM7_indexiq.com,bnymellon.com"
